150,AMQP,AES,Normal,829,128,8,7.456,jpg,0.169,UPLOAD,"2015-11-12 20:14:13"
151,MQTT,None,Normal,829,128,7,7.938,jpg,0.258,UPLOAD,"2015-11-13 11:50:07"
152,MQTT,None,Normal,829,128,7,7.179,jpg,0.309,UPLOAD,"2015-11-13 11:50:07"
183,AMQP,AES,Normal,5394,64,86,88.409,zip,1.298,UPLOAD,"2015-11-12 20:14:13"
184,MQTT,None,Normal,5394,64,85,116.938,zip,3.122,UPLOAD,"2015-11-13 11:50:07"
185,AMQP,AES,Normal,5394,128,44,104.015,zip,1.029,UPLOAD,"2015-11-12 20:14:13"
186,MQTT,None,Normal,5394,128,43,117.186,zip,4.82,UPLOAD,"2015-11-13 11:50:07"
187,AMQP,AES,Normal,5394,64,86,94.83,zip,1.162,UPLOAD,"2015-11-12 20:14:13"
188,AMQP,AES,Normal,5394,128,44,90.005,zip,0.911,UPLOAD,"2015-11-12 20:14:13"
189,MQTT,None,Normal,5394,64,85,116.195,zip,2.812,UPLOAD,"2015-11-13 11:50:07"
190,MQTT,None,Normal,5394,128,43,109.514,zip,2.042,UPLOAD,"2015-11-13 11:50:07"
191,AMQP,AES,Normal,5394,64,86,101.633,zip,1.303,UPLOAD,"2015-11-12 20:14:13"
192,AMQP,AES,Normal,5394,128,44,113.599,zip,0.809,UPLOAD,"2015-11-12 20:14:13"
193,MQTT,None,Normal,5394,64,85,138.958,zip,2.902,UPLOAD,"2015-11-13 11:50:07"
194,MQTT,None,Normal,5394,128,43,129.718,zip,2.1,UPLOAD,"2015-11-13 11:50:07"
195,AMQP,AES,Normal,5394,64,86,125.266,zip,1.758,UPLOAD,"2015-11-12 20:14:13"
196,AMQP,AES,Normal,5394,128,44,137.561,zip,1.244,UPLOAD,"2015-11-12 20:14:13"
197,AMQP,AES,Normal,5394,64,86,120.587,zip,1.224,UPLOAD,"2015-11-12 20:14:13"
